"product_id";"product_type";"document_type";"text"
1;"Fragrance";"mission";"Inspired by the Arabic words, Latif for kindness and Lateefa for pleasant, Lattafa resonates with the luxury and elegance of the Arabian culture and it vividly captures the essence of its glorious heritage in its captivating fragrance. With Lattafa's online store now being available within the United states, you can explore and select items at the touch of a button from a wide variety of products. We proudly ship all authentic Lattafa products from our New York, USA based warehouse. Way back in 1980, Lattafa perfumes was conceptualized by Mr. Sheikh Shahid Ahmad and Co-founder Mr. Shoaib Iqbal who had the vision to create high-quality and luxury fragrance for the local customers in the Middle East. A startup was then transformed into a renowned company with its exports to the major GCC countries. To keep the legacy continuing, the company launched Lattafa in 1992 to expand the scope of business beyond the Middle East and to serve the customers across the world. Today, decades later, Lattafa is the full-fledged perfume manufacturer and supplier of the best perfumes in U.A.E to an ever-increasing clientele in the Middle East and abroad who appreciate real luxury. The three generations of the Sheikh family take pride in the portfolio of perfumes and fragrances developed at Lattafa that expresses personality, generates lasting impressions and arouses positive emotions. Lattafa, Your Ultimate Destination for Luxurious & Exotic Home Grown Fragrances in Middle-east and across 61 countries of the world. Shopping online at Lattafa offers you the ability to choose from tis wide ranging collection and helps you to browse, select items at the touch of a button at home or in the office. Our knowledgeable staff shares genuine passion for perfume and offers you the best selection of perfumes in UAE at the best prices. Experience the allure of Lattafa Perfumes and indulge in the art of fragrance mastery. Our Mission To manufacture and produce one of its kind high quality, luxury fragrances in the UAE and beyond Our Vision We are working towards actualizing this vision thus contributing to our nation’s heritage and spirit of connecting the world through culture and entrepreneurship. Proudly having ‘Made in UAE’ label associated with us, we aim to be an integral part of our country’s economic diversification mandate and growth."
2;"Fragrance";"mission";"Versace is one of the most recognizable names in the world. The luxury House immediately became a leader in fashion and culture following its founding in 1978 by Gianni Versace, and it continues to lead with purpose under the creative vision of Donatella Versace and leadership of Emmanuel Gintzburger. Versace's energy comes from its clash of irreverent references. The tension between classical and contemporary; Italian tradition with the latest innovation; rock music with royalty; myth with today’s celebrity stardom. This unique formula shapes a creative culture that is expressed through now iconic designs, world-leading imagery, true fashion moments, and a heritage of innovative Italian artisanship. The Versace name is identified with a lifestyle and attitude that celebrates uniqueness and the power of a person who feels the ultimate freedom to be themselves. The Versace lifestyle includes women's, men's, and children's ready-to-wear, shoes, bags and accessories, Atelier Versace haute couture, eyewear, fragrances, watches, Palazzo Versace hotels, Versace Home homeware, and the Versace Jeans Couture youth line. Versace has a network of 230 boutiques and 638 licensed stores worldwide."
3;"Fragrance";"mission";"Since the dawn of time, scents have had the unique ability to capture the essence of life’s moments, ingraining them forever in our memory. Wafting gently through the air, they bring back memories of loved ones with emotion and clarity. In 1985, our master perfumer had the intuition to formulate alluring fragrances with human-compatible pheromones: The Original, Pure Instinct’s first pheromone fragrance, was born. Since then, it has empowered individuals to initiate communication with confidence and a positive attitude, bringing interpersonal and romantic relationships to the level of intimacy. Pure Instinct’s Original formula is a proprietary blend of natural ingredients and gender-friendly pheromones. The lightly fragranced oil absorbs quickly and leaves the skin soft to the touch, blending perfectly with your body’s chemistry. Make it your signature scent, and leave a mark wherever you go — a timeless, unforgettable impression. Drawing inspiration from human senses and curated to inspire and rekindle human connections, Pure Instinct is a gateway fragrance to confidence, adventure, and unforgettable experiences."
4;"Fragrance";"mission";"By celebrating and supporting women in everything we do, VS Intimates, Beauty, and more helps our community embrace confidence, sexiness, and power. Our goal? To inspire you to feel good inside and out while driving positive change through products, platform, and advocacy. Our associates are the heart of our business – they bring our values to life, create lifelong relationships with our customers, deliver innovation that keeps us at the forefront of the industry and inspire our happy, healthy and inclusive culture. Looking deeper, at the heart of our culture is our values that were developed in partnership with our passionate associates, reflecting our company’s core beliefs and reminding us of who we aspire to be together: Love the Customer: We place them at the heart of everything we do. We listen and engage with them to evolve as they do – making every experience count. DEI is Everything: We believe our business thrives because we look for, listen to and value diversity, equity and inclusion. We champion each other’s well-being and unique needs. We foster a safe environment where everyone is empowered to be their true selves. We never tolerate discrimination, harassment, bullying, aggression or retaliation. Passion with Purpose: We dream big and channel our passion to what matters most. We unlock our best thinking through curiosity and creativity and learn from mistakes. Better Together: We lead with integrity, trust and respect, every single day. We speak from the heart and are transparent because we care. We achieve the best outcomes together and work as one team."
5;"Fragrance";"mission";"Our story began in 1983 with one clear vision: to create nautical-inspired, quality pieces that allow people across the world to realize and experience the joy of the water. Starting with only six outerwear pieces, Nautica grew into a renowned global lifestyle brand with over 35 categories in more than 65 countries. TIMELINE 1983 With just 6 outerwear pieces, Nautica is founded by designer David Chu in New York City. 1993 Nautica becomes the official brand of the US Sailing Team in the Olympic Games. 1996 Nautica Competition is launched, a bold activewear brand that solidifies Nautica's iconic status in '90s fashion. 1999 Nautica Jeans Co. is introduced, a more casual take on sportswear focusing on premium denim. 2009 Nautica becomes a corporate sponsor of Oceana. 2013 Nautica celebrates 30 years at New York Fashion Week with the launch of Black Sail. 2020 Nautica introduces Wavemakers, a series that spotlights people making positive change in the world. Nautica launches Sustainably Crafted, a collection of environmentally-conscious styles designed with a bluer world in mind. NAUTICA TODAY We have always been defined by our original vision of reimagined nautical style. Now, as we look towards the future of Nautica, we strive to be more reflective of the rapidly changing world around us, and connect with it in new ways: through sustainability, social responsibility, and smart functional design you want to live your life in."
6;"Scented Candles";"mission";"About Us Everything you want to know — from our history to charitable giving, career opportunities, and more. Who We Are We are the largest specialty brand of premium scented candles in the United States. We offer the broadest assortment of highly scented candles, innovative home fragrance products, and candle-related home décor accents. A Passion for Fragrance Season after season, from reliving favorite memories to setting a mood, we share your passion for fragrance. It’s what drives us to search the world for fresh inspiration in creating evocative, long-lasting scents that will help make your house feel like home."
7;"Scented Candles";"mission";"Well, Hello There Not to toot our own horn, but we’ve been masters and mavens in the world of fragrance and design for over 20 years. We’re excited you’re here and can’t wait to tell you more about us. We love to Show Off We’re constantly on the hunt for the latest fashion, design, and patterns. Not just because we enjoy the search, but because we love showing off new favorites and classic staples with friends like you. So feel free to raid our selection and get inspired — there’s always something new to fall in love with."
8;"Scented Candles";"mission";"Chesapeake Bay Candle A fragrance-filled journey into wellness for the mind & body. Inspired Beginnings In 1994, Mei Xu and David Wang started out making candles by hand in the basement of their Annapolis home. Inspired by the beauty of the nearby Chesapeake Bay shoreline, they named their fragrance brand Chesapeake Bay Candle. The Fragrance First Philosophy Our development method focuses foremost on a deep understanding of the power of scent, creating a portfolio of fragrances to satisfy every moment and personality through innovation, artisanal know-how, and hand-poured techniques. Life Lived with Purpose With high-quality, nature-inspired fragrances and clean, simple designs, we make it easy to practice mindfulness and find a sense of harmony every day, wherever you may be and whatever you may be doing. The Mind & Body Collection Our signature Mind & Body collection is infused with scents that take you on a journey to discover your inner joy, peace, tranquility, and balance. Create a relaxing sanctuary and find that sense of pleasure in simple things we take for granted."
9;"Scented Candles";"mission";"WE BELIEVE IN THE POWER OF FRAGRANCE We make the world a brighter, happier place through the power of fragrance. At Bath & Body Works, we’re bringing joy to millions of customers and making the world a brighter place through the power of fragrance. Whether it's because one of our fragrances sparks a fond memory or because you trust our commitment to safety and quality — we value the reason why you value us. Home of America’s Favorite Fragrances®, Bath & Body Works is a global leader in personal care and home fragrance, that became an independent public company in Aug. 2021. Our top-selling collections include fine fragrance mist, body lotion and body cream, 3-wick candles, home fragrance diffusers and liquid hand soap. Powered by agility and innovation, our predominantly U.S.-based supply chain enables us to deliver quality, on-trend luxuries at affordable prices. Bath & Body Works serves and delights customers however and wherever they want to shop: welcoming, in-store experiences at our more than 1,850 company-operated Bath & Body Works locations in the U.S. and Canada, our online storefront at bathandbodyworks.com and our franchised locations around the world. OUR VALUES A Message From Our CEO Gina Boswell At Bath & Body Works, we were founded on a simple idea: Make the world a brighter, happier place through the power of fragrance. Our deep-rooted passion for fragrance is what sets us apart. It’s why for more than 30 years, we’ve been a global leader in our industry, giving our customers a reason to celebrate with fragrance every day. The world is moving faster than ever before, and with it, our customers’ needs are rapidly evolving. Continuous and bold innovation is in our DNA. Whether it’s a 3-wick candle or a fine fragrance mist, we’re constantly advancing so we can continue giving our customers the unique Bath & Body Works experience they love. In fact, a key ingredient to our success is our ability to artfully innovate a single fragrance into numerous forms, giving our customers their favorite scent in their favorite form. It’s this unparalleled passion for fragrance and commitment to innovation that drive our business forward. Our predominantly U.S.-based supply chain, combined with our best-in-class distribution partners, enhances our competitive edge. We’re empowered to move with unmatched agility and speed so we can give our customers their favorite affordable luxuries, whenever and wherever they want them. At Bath & Body Works, we believe in the power of fragrance. We see it firsthand every day in our dedicated associates who bring creativity and newness to our products and in our loyal customers who interact with our brand around the world. Our company was built on this belief, and as we look to the future, it will continue to shine across everything we do. International Business: Fragrance Around the World Our presence in the global marketplace is a healthy addition to our U.S. and Canada business and a source for expected long-term growth. Our franchise, license and wholesale partners consistently deliver our unique brand experience in stores and online around the globe. Bath & Body Works Named One of the Best Managed Companies by the Wall Street Journal Today Bath & Body Works announces its inclusion on the Wall Street Journal’s ranking of the Best Managed Companies of 2023. Our Core Values Our values live in all of us and guide everything we do. They give us a shared set of expectations for how we engage as a team. They serve as a lens for decision-making to ensure we have a positive impact on our customers, associates and the world around us in a way that makes us proud. Because doing the right thing is our thing We create safe spaces of belonging that embrace diversity, cultivate equity and spark inclusion. We empower our associates to be their authentic self because we know that empowered associates are happy associates. And happy associates make a difference for our customers and in our communities. We are guided by four core principles, which are at the heart of everything we do: The Customer Rules! The power of our brand starts with our customers. Our unique relationship with them guides every decision we make — because when we know our customers like we know our friends, we understand what they value and can anticipate their needs. Diversity, Equity and Inclusion Make Us Stronger. We will integrate Diversity, Equity and Inclusion principles into every level and aspect of our business. We will treat everyone respectfully and fairly and provide and foster an environment where everyone feels safe and empowered to be successful. We do not tolerate discrimination of any kind, harassment or bullying or other abusive behavior in the workplace. We have no tolerance for retaliation of any kind. Passion Leads to Success. We love what we do! We have fun creating the fragrances and experiences that bring happiness to people around the world. Our care for our customers drives us, giving our work a strong sense of purpose that keeps us focused on always exceeding expectations and delivering exceptional results. It Matters How We Play the Game. We hold ourselves to the highest standards and always focus on doing what’s right in our workplace, our communities, our industry and for our planet. We lead with honesty, integrity and humility because how you get there matters as much as the destination. Bath & Body Works Named Among the Most Innovative Companies in 2023 Bath & Body Works announced today it has been named one of the top 10 most innovative companies in Fordham University’s American Innovation Index. Read Our ESG Report We are committed to sharing information with our stakeholders on how we are approaching and managing our ESG focus areas."
10;"Scented Candles";"mission";NA
11;"Wireless Headphones";"mission";"Sony creates and delivers more entertainment experiences to more people than anyone else on earth. Sony Corporation of America Sony Corporation of America, located in New York, NY, is the U.S. headquarters of Sony Group Corporation, based in Tokyo, Japan. Sony's principal U.S. businesses include Sony Electronics Inc., Sony Interactive Entertainment LLC, Sony Music Entertainment, Sony Music Publishing LLC and Sony Pictures Entertainment Inc. With some 900 million Sony devices in hands and homes worldwide today, a vast array of Sony movies, television shows and music, and the PlayStation Network, Sony creates and delivers more entertainment experiences to more people than anyone else on earth. To learn more: www.sony.com/en. Electronics Sony Electronics Headquartered in San Diego, Sony Electronics is a leading provider of audio/video electronics and information technology products for the consumer and professional markets. Operations include research and development, engineering, sales, marketing, distribution, and customer service."
12;"Wireless Headphones";"mission";"Our Values We believe that business, at its best, serves the public good, empowers people around the world, and binds us together as never before. - Apple CEO Tim Cook We are committed to demonstrating that business can and should be a force for good. Achieving that takes innovation, collaboration, and a focus on serving others. It also means leading with our values in the technology we make, the way we make it, and how we treat people and the planet we share. We’re always working to leave the world better than we found it, and to create powerful tools that empower others to do the same. Apple Values Summary We have a wide range of reports and websites that outline key progress across each of our values and other key topics. We’ve also mapped our disclosures across metrics outlined by the Global Reporting Initiative (GRI), Sustainable Accounting Standards Board (SASB), now managed by the International Sustainability Standards Board (ISSB) of the IFRS Foundation, and the Task Force on Climate-Related Financial Disclosures (TCFD) voluntary disclosure frameworks, as well as the UN Sustainable Development Goals (SDGs)."
13;"Wireless Headphones";"mission";"Sound On. Move On. Learn more about soundcore and our journey. Our Story Progress is the beat of our every day. It is what fulfills us, and inspires us to give our best in all that we do. It continuously moves us forward, Turning up every journey to its fullest. soundcore's mission is to keep this beat true to its core every step of the way. So the momentum of our progress is always going, As we move on to make each day the best one yet. soundcore Sound On. Move On. Our History Come see the milestones we've reached along the way. 2023 soundcore launches its flagship true-wireless earbuds, Liberty 4 NC, which reduces noise by up to 98.5% 2022 soundcore launches Space series with the release of Space Q45 and Space A40 2022 soundcore Frames and Liberty 3 Pro win iF Design and CES Awards 2021 soundcore's first audio eyewear, soundcore Frames, is released 2018 soundcore wins first CES Innovation Award 2017 soundcore launches first Kickstarter campaign for true wireless earbuds 2023 soundcore launches the world's first portable high-fidelity speaker 2022 soundcore's new series, Sport, launches with the release of Sport X10 2021 soundcore's Q20 becomes No.1 best selling over-ear headphones in the US 2019 soundcore's Liberty 2 Pro launches and is recommended by GRAMMY award-winning producers 2018 soundcore's first Smart Speaker, Model Zero+, launches 2017 Anker's soundcore speaker becomes No.1 bestseller on Amazon 2014 First Anker soundcore speaker launches"
14;"Wireless Headphones";"mission";"About HARMAN ​HARMAN engineers solutions to enhance everyday experiences. We simplify the way people interact with technology and connect them to the world.​ Chances are HARMAN and its innovative brands have already touched your life today ​​HARMAN designs and engineers c​onnected products and solutions for automakers, consumers, and enterprises worldwide, including connected car systems, audio and visual products, enterprise automat​ion solutions, and connected services. Our talented workforce and innovation strength create value for our customers by enabling connected experiences at home, in the car and on the go. Outstanding product design that puts customers first ​Aligning with the trends that are redefining our technological lives, HARMAN is collaborating with our innovative partners to propel growth amidst disruptive technologies. Samsung & HARMAN Driving Connecti​vity Forward​ Samsung shares HARMAN’s commitment to our customers and our culture of speed, innovation and execution. Recognizing the importance of strategic alliances in an increasingly connected world, particularly in automotive, HARMAN and Samsung's synergy leverages unparalleled global scale, R&D and distribution channels to accelerate innovation for customers around the world."
15;"Wireless Headphones";"mission";"Sound has the power to transport us. Transform us. To make us feel alive At Bose, we believe sound is power. It’s the most powerful force on earth. And we’ve dedicated ourselves to improving it for nearly 60 years. Ever since our founder, Dr. Amar Bose, bought a stereo system and thought, “I can make this better,” we’ve been relentlessly pushing forward to the next best thing. Innovation is more than what we do. It’s who we are — constantly learning and constantly curious. We never stop imagining what better sound sounds like. We’re music fanatics and audio engineers. We’re explorers and inventors and dreamers, passionate down to our bones about making whatever you’re listening to a little more magical. In addition to a long history of ingenuity, we’re proud to be recognized by Fast Company as one of the Most Innovative Companies of 2024. History Never lose your imagination. Always dream of things that are better and think about ways to reach those things. Dr. Amar Bose A timeline of innovation. At Bose, we are always dreaming up something better than what we created yesterday. See how we’ve contributed to the power of sound through the decades. 1929: It all begins. Amar Gopal Bose is born. Dr. Bose was born in Philadelphia to a Bengali father (Noni Gopal Bose) and a U.S.-born mother of English and German ancestry (Charlotte). 1956: Meet Dr. Bose. Amar earns his doctorate. Amar Bose graduates with a PhD in electrical engineering from the Massachusetts Institute of Technology, and celebrates by buying himself a new hi-fi stereo system. But the sound quality disappoints him, and leads to him researching acoustics at MIT in his spare time. 1964: It’s on. Dr. Bose officially launches Bose Corporation. Dr. Bose launches Bose Corporation. By day, he and his two employees develop power-regulating systems for the military and other government agencies. By night, they explore acoustics and speaker design. 1972: Going global. We sell our first products outside of the U.S., starting in Germany. Through a relationship with an audio retailer in Bad Homburg, Germany, we begin selling Bose products outside the U.S. for the first time. 1986: Ready for takeoff. Our prototype noise cancelling headphones are co-pilots on a historic flight. Two of our active noise-reducing headsets preserve the hearing of pilots Dick Rutan and Jeana Yeager on their record-breaking, non-stop, around-the-world voyager flight. 1987: We’re honored. Dr. Bose and Dr. William R. Short are named Inventors of the Year. Dr. Bose and Dr. William R. Short win the Intellectual Property Owners Education Foundation’s Inventor of the Year Award for a loudspeaker system employing a folded acoustic waveguide. 1993: Turn the dial. We reimagine radio with the Bose Wave. Our patented acoustic waveguide speaker technology redefines the concept of a radio by delivering rich, deep sound not previously heard from such a small unit. 2000: Redefining silence. Pioneering Bose technology changes the way people hear quiet. The QuietComfort® headphones forever change air travel for passengers by drastically reducing noise and providing better in-flight entertainment sound quality than ever before. 2008: A-list. Dr. Bose makes the National Inventors Hall of Fame. For achievements in audio technology that “have significantly influenced the quality of how we live,” Dr. Bose is inducted into the National Inventors Hall of Fame in Akron, Ohio. 2011: The gift. Dr. Bose’s donates a majority of our non-voting shares to MIT. Dr. Bose donates a majority of Bose Corporation’s non-voting shares to MIT. The dividends on those shares are used to sustain and advance MIT’s education and research mission. The company will remain private and independent. 2013: We mourn. Dr. Amar Gopal Bose dies at age 83. “Dr. Bose founded Bose Corporation almost 50 years ago with a set of guiding principles centered on research and innovation. That focus has never changed, and never will.” — Bob Maresca, president and newly appointed CEO, Bose Corporation. 2014: Game on. Bose is the official headset/headphones of the NFL. Bose brings noise cancelling technology to the NFL, improving coaches’ on-field communication and enhancing the in-game experience for fans in the stadium and at home. 2020: Shhh gets smaller. We introduce our QuietComfort® Earbuds. All the quiet of our best-in-class QuietComfort® noise cancelling headphones in a sleek, truly wireless earbud. The QuietComfort® Earbuds deliver big audio quality in a compact, comfortable design, and offer 11 levels of noise control so you can choose how much of the world to let in. 2022: Hear hear. Bose commits to accessible hearing augmentation. Bose was the first to introduce FDA-cleared, self-fitting hearing augmentation technology for consumers with perceived mild to moderate hearing loss. Our partnership with hearX for a new line of Lexie Hearing Aids Powered by Bose will make affordable hearing aids accessible for millions of adults. That was yesterday. Here’s to what’s in store for tomorrow. Today, Bose remains as committed to its founding principles and customers as it was in 1964. We celebrate and humbly thank the millions of people around the world who have chosen Bose. We know this is just the beginning, and can’t wait for you to experience what’s next."
16;"Wireless Headphones";"mission";"About HARMAN ​HARMAN engineers solutions to enhance everyday experiences. We simplify the way people interact with technology and connect them to the world.​ Chances are HARMAN and its innovative brands have already touched your life today ​​HARMAN designs and engineers c​onnected products and solutions for automakers, consumers, and enterprises worldwide, including connected car systems, audio and visual products, enterprise automat​ion solutions, and connected services. Our talented workforce and innovation strength create value for our customers by enabling connected experiences at home, in the car and on the go. Outstanding product design that puts customers first ​Aligning with the trends that are redefining our technological lives, HARMAN is collaborating with our innovative partners to propel growth amidst disruptive technologies. Samsung & HARMAN Driving Connecti​vity Forward​ Samsung shares HARMAN’s commitment to our customers and our culture of speed, innovation and execution. Recognizing the importance of strategic alliances in an increasingly connected world, particularly in automotive, HARMAN and Samsung's synergy leverages unparalleled global scale, R&D and distribution channels to accelerate innovation for customers around the world."
