"product_id" "product_asin" "product_type" "product_name" "transcript_id" "link"
1 "B09C8VNWBP" "Fragrance" "Lattafa Yara for Women" 1 "https://www.youtube.com/watch?v=0skQgoAZ8Sg&pp=ygUNTGF0dGFmYSBZYXJhIA%3D%3D"
1 "B09C8VNWBP" "Fragrance" "Lattafa Yara for Women" 2 "https://www.youtube.com/watch?v=qovg1cf-jPo&pp=ygUNTGF0dGFmYSBZYXJhIA%3D%3D"
1 "B09C8VNWBP" "Fragrance" "Lattafa Yara for Women" 3 "https://www.youtube.com/watch?v=-kPcypIqlCU&pp=ygUNTGF0dGFmYSBZYXJhIA%3D%3D"
1 "B09C8VNWBP" "Fragrance" "Lattafa Yara for Women" 4 "https://www.youtube.com/watch?v=rcbg4cwByLI&pp=ygUkTGF0dGFmYSBZYXJhIGZvciBXb21lbiBFYXUgZGUgUGFyZnVt"
2 "9790790961" "Fragrance" "Versace Bright Crystal " 5 "https://www.youtube.com/watch?v=i03WpFLjFNE&pp=ygUYVmVyc2FjZSBCcmlnaHQgQ3J5c3RhbMKg"
2 "9790790961" "Fragrance" "Versace Bright Crystal " 6 "https://www.youtube.com/watch?v=94okbPTxMDU&pp=ygUXVmVyc2FjZSBCcmlnaHQgQ3J5c3RhbCA%3D"
2 "9790790961" "Fragrance" "Versace Bright Crystal " 7 "https://www.youtube.com/watch?v=t1q2HvqrbEg&pp=ygUXVmVyc2FjZSBCcmlnaHQgQ3J5c3RhbCA%3D"
2 "9790790961" "Fragrance" "Versace Bright Crystal " 8 "https://www.youtube.com/watch?v=LC1POZ2EZsU&pp=ygUYVmVyc2FjZSBCcmlnaHQgQ3J5c3RhbMKg"
2 "9790790961" "Fragrance" "Versace Bright Crystal " 9 "https://www.youtube.com/watch?v=nnLooipYjLo&pp=ygUYVmVyc2FjZSBCcmlnaHQgQ3J5c3RhbMKg"
3 "B096LB7G9L" "Fragrance" "Pure Instinct Crave" 10 "https://www.youtube.com/watch?v=ZuuVaOb3Cik&pp=ygUdUHVyZSBJbnN0aW5jdCBDUkFWRSBSb2xsLU9uwqA%3D"
3 "B096LB7G9L" "Fragrance" "Pure Instinct Crave" 11 "https://www.youtube.com/watch?v=pQkxacIWLA4&pp=ygUdUHVyZSBJbnN0aW5jdCBDUkFWRSBSb2xsLU9uwqA%3D"
3 "B096LB7G9L" "Fragrance" "Pure Instinct Crave" 12 "https://www.youtube.com/watch?v=FJJhsOE_vPs&pp=ygUdUHVyZSBJbnN0aW5jdCBDUkFWRSBSb2xsLU9uwqA%3D"
4 "B07JL7YGC7" "Fragrance" "Victoria's Secret Bombshell" 13 "https://www.youtube.com/watch?v=rAD0E-i4OmM&pp=ygUbVmljdG9yaWEncyBTZWNyZXQgQm9tYnNoZWxs"
4 "B07JL7YGC7" "Fragrance" "Victoria's Secret Bombshell" 14 "https://www.youtube.com/watch?v=BxQzeO95cQM&pp=ygUbVmljdG9yaWEncyBTZWNyZXQgQm9tYnNoZWxs"
4 "B07JL7YGC7" "Fragrance" "Victoria's Secret Bombshell" 15 "https://www.youtube.com/watch?v=_mpqMASuaOE&pp=ygUbVmljdG9yaWEncyBTZWNyZXQgQm9tYnNoZWxs"
5 "B000P22TIY" "Fragrance" "Nautica Voyage for Men" 16 "https://www.youtube.com/watch?v=DJYSuOJVnhA&pp=ygUfTmF1dGljYSBWb3lhZ2UgRWF1IERlIFRvaWxldHRlIA%3D%3D"
5 "B000P22TIY" "Fragrance" "Nautica Voyage for Men" 17 "https://www.youtube.com/watch?v=Jq9V2Z95cfQ&pp=ygUfTmF1dGljYSBWb3lhZ2UgRWF1IERlIFRvaWxldHRlIA%3D%3D"
5 "B000P22TIY" "Fragrance" "Nautica Voyage for Men" 18 "https://www.youtube.com/watch?v=WasVbrak36A&pp=ygUfTmF1dGljYSBWb3lhZ2UgRWF1IERlIFRvaWxldHRlIA%3D%3D"
5 "B000P22TIY" "Fragrance" "Nautica Voyage for Men" 19 "https://www.youtube.com/watch?v=BojhWe6TCac&pp=ygUmTmF1dGljYSBWb3lhZ2UgRWF1IERlIFRvaWxldHRlIGZvciBNZW4%3D"
6 "B004G9C0SQ" "Scented Candles" "Yankee Candle Pink Sands" 20 "https://www.youtube.com/watch?v=-4nNsxc_48M&pp=ygUgWWFua2VlIENhbmRsZSBQaW5rIFNhbmRzIFNjZW50ZWQ%3D"
6 "B004G9C0SQ" "Scented Candles" "Yankee Candle Pink Sands" 21 "https://www.youtube.com/watch?v=ZquE0E9-Olw&pp=ygUgWWFua2VlIENhbmRsZSBQaW5rIFNhbmRzIFNjZW50ZWQ%3D"
7 "B000YBFJQU" "Scented Candles" "Capri Blue Volcano" 22 "https://www.youtube.com/watch?v=sA9yzlr7LKg&pp=ygUhQ2FwcmkgQmx1ZSBWb2xjYW5vIFNjZW50ZWQgQ2FuZGxl"
7 "B000YBFJQU" "Scented Candles" "Capri Blue Volcano" 23 "https://www.youtube.com/watch?v=1ZZNcobnprI&pp=ygUhQ2FwcmkgQmx1ZSBWb2xjYW5vIFNjZW50ZWQgQ2FuZGxl"
7 "B000YBFJQU" "Scented Candles" "Capri Blue Volcano" 24 "https://www.youtube.com/watch?v=aYlxbZSIXYE&pp=ygUhQ2FwcmkgQmx1ZSBWb2xjYW5vIFNjZW50ZWQgQ2FuZGxl"
8 "B07GH691SQ" "Scented Candles" "Chesapeake Bay Candle" 25 "https://www.youtube.com/watch?v=a2gGx0t_iqM&pp=ygUVQ2hlc2FwZWFrZSBCYXkgQ2FuZGxl"
8 "B07GH691SQ" "Scented Candles" "Chesapeake Bay Candle" 26 "https://www.youtube.com/watch?v=-nA1qUKmw9U&pp=ygUVQ2hlc2FwZWFrZSBCYXkgQ2FuZGxl"
8 "B07GH691SQ" "Scented Candles" "Chesapeake Bay Candle" 27 "https://www.youtube.com/watch?v=U182UEQtADQ&pp=ygUVQ2hlc2FwZWFrZSBCYXkgQ2FuZGxl"
9 "B07G5FYXMS" "Scented Candles" "Bath and Body Works White Barn" 28 "https://www.youtube.com/watch?v=bBFccE0vngw&pp=ygUyQmF0aCBhbmQgQm9keSBXb3JrcyBXaGl0ZSBCYXJuIENoYW1wYWduZSBUb2FzdCAzwqA%3D"
9 "B07G5FYXMS" "Scented Candles" "Bath and Body Works White Barn" 29 "https://www.youtube.com/watch?v=z0uyhBqhAkQ&pp=ygUyQmF0aCBhbmQgQm9keSBXb3JrcyBXaGl0ZSBCYXJuIENoYW1wYWduZSBUb2FzdCAzwqA%3D"
9 "B07G5FYXMS" "Scented Candles" "Bath and Body Works White Barn" 30 "https://www.youtube.com/watch?v=4thEgbYsac0&pp=ygUyQmF0aCBhbmQgQm9keSBXb3JrcyBXaGl0ZSBCYXJuIENoYW1wYWduZSBUb2FzdCAzwqA%3D"
10 "B07J5S5Z9D" "Scented Candles" "Lulu Candles Nr.14" 31 "https://www.youtube.com/watch?v=D9DHVzO2FCo&t=97s&pp=ygUqTHVsdSBDYW5kbGVzIHwgSmFzbWluZSwgT3VkICYgU2FuZGFsd29vZCB8"
10 "B07J5S5Z9D" "Scented Candles" "Lulu Candles Nr.14" 32 "https://www.youtube.com/watch?v=Z1DD6iYgnRg&pp=ygUqTHVsdSBDYW5kbGVzIHwgSmFzbWluZSwgT3VkICYgU2FuZGFsd29vZCB8"
11 "B0BS1QCFHX" "Wireless Headphones" "Sony WH-CH720N" 33 "https://www.youtube.com/watch?v=PHWPhPuB5ZI&t=515s&pp=ygUeU29ueSBXSC1DSDcyME4gTm9pc2UgQ2FuY2VsaW5n"
11 "B0BS1QCFHX" "Wireless Headphones" "Sony WH-CH720N" 34 "https://www.youtube.com/watch?v=CEdkOrM3Kaw&t=34s&pp=ygUeU29ueSBXSC1DSDcyME4gTm9pc2UgQ2FuY2VsaW5n"
11 "B0BS1QCFHX" "Wireless Headphones" "Sony WH-CH720N" 35 "https://www.youtube.com/watch?v=3vVDR_CJXww&pp=ygUeU29ueSBXSC1DSDcyME4gTm9pc2UgQ2FuY2VsaW5n"
12 "B07PXGQC1Q" "Wireless Headphones" "Apple AirPods (2nd gen)" 36 "https://www.youtube.com/watch?v=ZTE5iC0EZzw&pp=ygUlQXBwbGUgQWlyUG9kcyAoMm5kIEdlbmVyYXRpb24pIHJldmlldw%3D%3D"
12 "B07PXGQC1Q" "Wireless Headphones" "Apple AirPods (2nd gen)" 37 "https://www.youtube.com/watch?v=-8oT3dE0hik&pp=ygUbYWlycG9kcyAyIGdlbmVyYXRpb24gcmV2aWV3"
12 "B07PXGQC1Q" "Wireless Headphones" "Apple AirPods (2nd gen)" 38 "https://www.youtube.com/watch?v=WZbV3e8_PN0&pp=ygUlQXBwbGUgQWlyUG9kcyAoMm5kIEdlbmVyYXRpb24pIHJldmlldw%3D%3D"
13 "B0BTYCRJSS" "Wireless Headphones" "Soundcore by Anker P20i" 39 "https://www.youtube.com/watch?v=kO_ifKyZvVU&pp=ygUeU291bmRjb3JlIGJ5IEFua2VyIFAyMGkgcmV2aWV3"
13 "B0BTYCRJSS" "Wireless Headphones" "Soundcore by Anker P20i" 40 "https://www.youtube.com/watch?v=9xSqoyUBrj4&pp=ygUeU291bmRjb3JlIGJ5IEFua2VyIFAyMGkgcmV2aWV3"
13 "B0BTYCRJSS" "Wireless Headphones" "Soundcore by Anker P20i" 41 "https://www.youtube.com/watch?v=clvJgtLAtfM&pp=ygUeU291bmRjb3JlIGJ5IEFua2VyIFAyMGkgcmV2aWV3"
14 "B08WM3LMJF" "Wireless Headphones" "JBL Tune 510BT" 42 "https://www.youtube.com/watch?v=L59IN5UUaG0&pp=ygUVSkJMIFR1bmUgNTEwQlQgcmV2aWV3"
14 "B08WM3LMJF" "Wireless Headphones" "JBL Tune 510BT" 43 "https://www.youtube.com/watch?v=TUbzWd5YB8Q&pp=ygUVSkJMIFR1bmUgNTEwQlQgcmV2aWV3"
14 "B08WM3LMJF" "Wireless Headphones" "JBL Tune 510BT" 44 "https://www.youtube.com/watch?v=IfbZ_EwLw2M&pp=ygUVSkJMIFR1bmUgNTEwQlQgcmV2aWV3"
15 "B0B4PSQHD5" "Wireless Headphones" "Bose QuietComfort Earbuds II" 45 "https://www.youtube.com/watch?v=1qQ4a6Kzra4&pp=ygUjQm9zZSBRdWlldENvbWZvcnQgRWFyYnVkcyBJSSByZXZpZXc%3D"
15 "B0B4PSQHD5" "Wireless Headphones" "Bose QuietComfort Earbuds II" 46 "https://www.youtube.com/watch?v=Jqn6xt_YP_c&pp=ygUjQm9zZSBRdWlldENvbWZvcnQgRWFyYnVkcyBJSSByZXZpZXc%3D"
15 "B0B4PSQHD5" "Wireless Headphones" "Bose QuietComfort Earbuds II" 47 "https://www.youtube.com/watch?v=Wkjm07Z6Xmg&pp=ygUjQm9zZSBRdWlldENvbWZvcnQgRWFyYnVkcyBJSSByZXZpZXc%3D"
16 "B0BQPNMXQV" "Wireless Headphones" "JBL Vibe Beam" 48 "https://www.youtube.com/watch?v=-jPD2nOoIQ0&pp=ygUUSkJMIFZpYmUgQmVhbSByZXZpZXc%3D"
16 "B0BQPNMXQV" "Wireless Headphones" "JBL Vibe Beam" 49 "https://www.youtube.com/watch?v=XLu3eetfCnw&pp=ygUUSkJMIFZpYmUgQmVhbSByZXZpZXc%3D"
16 "B0BQPNMXQV" "Wireless Headphones" "JBL Vibe Beam" 50 "https://www.youtube.com/watch?v=nnysedH9gF0&pp=ygUUSkJMIFZpYmUgQmVhbSByZXZpZXc%3D"
17 "B0845ZB6GX" "Multi Purpose Cleaner" "Simple Green All-Purpose Cleaner" 51 "https://www.youtube.com/watch?v=Gq9q4gfr6G4&pp=ygUmU2ltcGxlIEdyZWVuIEFsbFB1cnBvc2UgQ2xlYW5lciByZXZpZXc%3D"
17 "B0845ZB6GX" "Multi Purpose Cleaner" "Simple Green All-Purpose Cleaner" 52 "https://www.youtube.com/watch?v=mPvXf3v0Xy4&pp=ygUmU2ltcGxlIEdyZWVuIEFsbFB1cnBvc2UgQ2xlYW5lciByZXZpZXc%3D"
17 "B0845ZB6GX" "Multi Purpose Cleaner" "Simple Green All-Purpose Cleaner" 53 "https://www.youtube.com/watch?v=GnThw9F_aMg&pp=ygUmU2ltcGxlIEdyZWVuIEFsbFB1cnBvc2UgQ2xlYW5lciByZXZpZXc%3D"
18 "B01M5EILYI" "Multi Purpose Cleaner" "Mrs. Meyer's Clean Day Multi-Surface Cleaner" 54 "https://www.youtube.com/watch?v=eCz7UmbyQLU&pp=ygU4TVJTLiBNRVlFUidTIENMRUFOIERBWSBNdWx0aS1TdXJmYWNlIENsZWFuZXIgQ29uY2VudHJhdGU%3D"
18 "B01M5EILYI" "Multi Purpose Cleaner" "Mrs. Meyer's Clean Day Multi-Surface Cleaner" 55 "https://www.youtube.com/watch?v=55n_U2vR0wU&pp=ygU4TVJTLiBNRVlFUidTIENMRUFOIERBWSBNdWx0aS1TdXJmYWNlIENsZWFuZXIgQ29uY2VudHJhdGU%3D"
18 "B01M5EILYI" "Multi Purpose Cleaner" "Mrs. Meyer's Clean Day Multi-Surface Cleaner" 56 "https://www.youtube.com/watch?v=7HAvwyvWrl0&pp=ygU4TVJTLiBNRVlFUidTIENMRUFOIERBWSBNdWx0aS1TdXJmYWNlIENsZWFuZXIgQ29uY2VudHJhdGU%3D"
18 "B01M5EILYI" "Multi Purpose Cleaner" "Mrs. Meyer's Clean Day Multi-Surface Cleaner" 57 "https://www.youtube.com/watch?v=Q5DygCmtV2U&pp=ygU4TVJTLiBNRVlFUidTIENMRUFOIERBWSBNdWx0aS1TdXJmYWNlIENsZWFuZXIgQ29uY2VudHJhdGU%3D"
19 "B0CP4GGRXF" "Multi Purpose Cleaner" "Mr. Clean Concentrated Multi-Surface Cleaner" 58 "https://www.youtube.com/watch?v=O9XADJtBIkk&pp=ygVMTXIuIENsZWFuIDJYIENvbmNlbnRyYXRlZCBNdWx0aSBTdXJmYWNlIENsZWFuZXIgd2l0aCBVbnN0b3BhYmxlcyBGcmVzaCBTY2VudA%3D%3D"
19 "B0CP4GGRXF" "Multi Purpose Cleaner" "Mr. Clean Concentrated Multi-Surface Cleaner" 59 "https://www.youtube.com/watch?v=0N9MhZrV3es&pp=ygVMTXIuIENsZWFuIDJYIENvbmNlbnRyYXRlZCBNdWx0aSBTdXJmYWNlIENsZWFuZXIgd2l0aCBVbnN0b3BhYmxlcyBGcmVzaCBTY2VudA%3D%3D"
19 "B0CP4GGRXF" "Multi Purpose Cleaner" "Mr. Clean Concentrated Multi-Surface Cleaner" 60 "https://www.youtube.com/watch?v=7FvbMBzSNUE&pp=ygVMTXIuIENsZWFuIDJYIENvbmNlbnRyYXRlZCBNdWx0aSBTdXJmYWNlIENsZWFuZXIgd2l0aCBVbnN0b3BhYmxlcyBGcmVzaCBTY2VudA%3D%3D"
20 "B00QIT9NDW" "Multi Purpose Cleaner" "Lysol All-Purpose Cleaner" 61 "https://www.youtube.com/watch?v=ZqS5xzzl2IQ&pp=ygUZTHlzb2wgQWxsLVB1cnBvc2UgQ2xlYW5lcg%3D%3D"
20 "B00QIT9NDW" "Multi Purpose Cleaner" "Lysol All-Purpose Cleaner" 62 "https://www.youtube.com/watch?v=6HQaNQrKbYI&pp=ygUZTHlzb2wgQWxsLVB1cnBvc2UgQ2xlYW5lcg%3D%3D"
