"text","answer"
1,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
2,"c, c, c, c, c, c, c, c"
3,"c, c, c, c, c, c, c, c"
4,"[a], [a], [a], [a], [a], [a], [a], [a], [a], [c], [c], [a], [a], [c]"
5,"c, c, c, c, c, c, c, c, c, a, a, c, a"
6,"[c], [c], [c], [c], [c]"
7,"c, c, c, c, c"
8,"c, c, c, c, a, c, c"
9,"c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, c, [c], [a], [a], [a], [a], [a], [c], [c], [c], [c], [a], [a], [c], [c]"
10,"c"
11,"[c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
12,"a, a, a, a, a, c, c"
13,"[c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
14,"c, c, c, c, c, c, c"
15,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [c], [c], [a], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [a], [a], [a], [c], [c], [c], [c], [c]"
16,"c, c, c, c, c, c, c"
17,"c, c, b, c, a, c, a, a, c, a, c, c, c, c, a, c, c, a, a, a, c, a, a, a"
18,"c, c, c, c, c, a, c, c, c, c, c, c, a, c, c, c, a, a, c, a, a, c, a, a, c, a, c, a, a, a, c, c, c, a, a, a, c, c"
19,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c]"
20,"c, a, c, a, a, a, a, a, c, a, c"
21,"c, a, a"
22,"c"
23,"c, a, a, c, c, a, a, a, a, a, c, a, a, a, a, a, a, a, c, a, c, a, a, a, a, a, c, c, c, c"
24,"c"
25,"[c], [c], [c], [c], [c], [a], [c], [c], [c], [c], [c], [c], [a], [a], [c], [a], [c], [c], [c], [c], c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
26,"[a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [c], [c], [c], [a], [c], [a], [c], [a], [c], [c], [c], [c], [a]"
27,"c, c, c, c, c, c, a, a, c, c, c, a, c, a, a"
28,"c"
29,"c"
30,"[c], [c], [a], [c], [c], [a], [c], [c], [c], [c], [a], [a], [a], [a], [c], [c], [c], [a], [a], [c], c, c, a, a, c, c, c, a, a, a, c, a, a, a, a, a, c, c, c, c, c, c, c, c, a, a, a, c, a, a, a, c, c, c, a, c, a, a, c, c, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], c, c, c, c, a, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a, a"
31,"a, a"
32,"[a], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], c, a, a, c, c, c, a, c, a, c, a, a, a"
33,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, a, c, c, [c], [c], [c], [c], [c], [c], [c], [c]"
34,"c, c, c, c, c, c, c, c, c"
35,"[c], [c], [c], [a], [a], [a], [a], [a], [a], [a], [a], [c], [c], [c], [a], [c], [a], [a], [a], [a], Please, provide, the, sentences, you, would, like, classified, according, to, the, given, instructions."
36,"c, a, a, c, a, a, a, a, a, a, a, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, c, c, c, a, c, c, a, a, a, a, a, a, c, c, c, c, a, a, a, a, a, a, a, c, c, c, c, c, c, c, a"
37,"[c], [c], [c], [a], [a], [a], [a], [a], [a], [a], [a], [c], [c], [c], [a], [c], [a], [a], [a], [a], Please, provide, the, sentences, you, would, like, classified, and, I, will, assist, you, accordingly."
38,"[a], [a], [c], [c], [c], [c], [a], [a], [a], [c], [a], [a], [c], [c], [a], [a], [a], [a], [a], [a], c, a, c, a, a"
39,"[c], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a], c, a, c, c, c, c, c, a, a, a, a, a, a, c, c, a, a, a, a, a, c, a, c, c, c, a, a, c, c, c, c"
40,"c"
41,"[c], [a], [a], [a], [a], [a], [c], [a], [a], [a], [c], [a], [c], [c], [a], [a], [a], [a], [a], [a], [a], [a], [a], [a]"
42,"c"
