"text","answer"
1,"c, c, c, c, c, c, c, c, c, c, c, c, c"
2,"c, a, c, c, c, c, c, c, a, c, c"
3,"c, c, c, c, b, c, c"
4,"c, c, c, c"
5,"c, c, c, c"
6,"c, a"
7,"[a], [c]"
8,"c, c, c, c, a, a, c, c, c, c"
9,"c, c, c, c, c, c, c, a, c, c, c"
10,"c, c, c, c, c"
11,"[a], -, The, phrase, \"lasts, forever\", suggests, durability, which, is, a, component, of, economic, sustainability., [c], -, This, sentence, is, unrelated, to, economic, sustainability, as, it, only, describes, the, scent., [c], -, This, sentence, is, unrelated, to, economic, sustainability, as, it, only, describes, the, scent., [a], -, The, sentence, mentions, the, perfume's, lasting, power, and, affordability, which, relate, to, economic, sustainability, through, durability, and, cost-effectiveness."
12,"c, c, c, c, c"
13,"c, c, c"
14,"c, c, a, a"
15,"c, c, c, c, c, c, c, c, c, c"
16,"c, c, c, c, c, c, c, c, c"
17,"c, c, c, c"
18,"c, c, c, a, c"
19,"c, c, c, c, c"
20,"c, c, c"
21,"[a], [c], [c], [a]"
22,"c, c, a"
23,"c, c, c"
24,"c, c, c"
25,"b, a, c, a"
26,"c, c, c"
27,"c, c, c, a, c"
28,"c, c"
29,"c, c"
30,"c, c, c, c, c, b, a, a, c"
31,"c, c, c"
32,"c, c"
33,"c"
34,"c, c, c"
35,"c, c, c, c, c, c"
36,"c, c, c, c"
37,"c, a, c"
38,"c, a, b"
39,"c, c, c"
40,"c, c"
41,"c, c, c, c"
42,"c, c, c, c, c"
43,"c, c, c, c, c, c, c, c"
44,"c, c, b"
45,"c, c, c, c, c, c"
46,"c, c"
47,"c, c, c, c, c"
48,"c"
49,"c, c, c, a, c, a, c"
50,"c, c, a"
51,"c, c, c, b, b"
52,"c, c, a, c, c, c"
53,"c"
54,"c, c, c"
55,"[a], [c], [c], [b], [c], [c], [b]"
56,"c, c, c, c, a, c"
57,"c, c, c, c, c"
58,"c, c, c, c, c"
59,"c, c, c, c, c, c"
60,"c, c, c, c, c, c, a, c, c"
61,"c, c, c"
62,"c, c, c, c, c"
63,"c, c, c, c, c, c, a, a"
64,"c, c, c"
65,"[c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
66,"c, a, a, c, c, c"
67,"c, c"
68,"c"
69,"[a], [c]"
70,"c, c, c, c, c, a"
71,"c, c, c, c, c, c, c, a, c"
72,"c, c, a, a"
73,"c, c"
74,"c"
75,"c"
76,"c, c, c"
77,"c, c, a, c"
78,"c, c, c, c"
79,"c"
80,"c, c, c, a, c"
81,"c"
82,"c, c, c, c, b, a, a"
83,"c, c, c"
84,"c, c, b"
85,"c, c, c, c"
86,"c, c"
87,"c, c"
88,"c, c, a, c"
89,"c, c, c, c"
90,"c, c, c, c, c, c, c, c, a, c"
91,"c, a, c"
92,"c"
93,"c, c"
94,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
95,"c, c, c, a, c, a, a, a"
96,"c, c, c"
97,"c, a, c"
98,"c, a"
99,"c, c, c, c, c, c, a, c"
100,"c, c, c, c, a, c, c, c, a, c, c, c, c"
101,"c, c"
102,"c, c, c"
103,"c, c, c"
104,"c, c"
105,"c"
106,"a"
107,"c, c"
108,"c"
109,"c"
110,"c, c, c"
111,"c, c"
112,"c"
113,"c, c"
114,"c, c, c"
115,"c"
116,"c"
117,"c"
118,"c, c, c"
119,"c, c, c, c, c"
120,"c, c, c"
121,"c, a"
122,"c"
123,"c, c, c"
124,"c, c, a"
125,"c, c, a"
126,"c"
127,"c, c, c, c, a, c"
128,"c, c"
129,"c"
130,"c, c"
131,"a"
132,"c, c"
133,"c, c, c, c"
134,"c"
135,"c"
136,"c, c, b"
137,"c"
138,"c"
139,"c"
140,"c"
141,"a"
142,"c, a"
143,"c, c"
144,"c, c"
145,"c, c"
146,"c"
147,"c"
148,"c, c"
149,"c"
150,"c, a"
151,"c"
152,"c, c"
153,"c"
154,"c, c"
155,"c"
156,"c, c, c"
157,"c"
158,"c, c, c"
159,"c"
160,"c, c, c"
161,"c"
162,"c, c, c, a"
163,"c, c, c"
164,"c"
165,"c"
166,"c"
167,"c, c, c"
168,"c, c, c, c, c, a, b"
169,"c, a, a, c, c"
170,"c"
171,"c"
172,"c, a"
173,"[a], [c], [c], [c], [c], [c]"
174,"c, c"
175,"c, c, c, a, c, c, c"
176,"c, c, c, c, a"
177,"c, c, c"
178,"c, c, c, c, c"
179,"c, c"
180,"c, c, c, c"
181,"c"
182,"c, c, c, c, c, c"
183,"c, b, c"
184,"c, a, c, c, c, c, a, c, c, c"
185,"b, b"
186,"c, c, c"
187,"c, a, c, c, c, c, c, b"
188,"c, c, c, c, c, c, c, c"
189,"c, c, c, c, c"
190,"[a], [c], [c], [a], [c], [c], [c], [c]"
191,"c, c, c, c, c, c"
192,"[c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c]"
193,"c, a"
194,"c, c, c, c, c"
195,"c, c, c, c"
196,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
197,"b, c, b, a"
198,"c, c, c, c, c, c, c, c, c, c, c"
199,"c, b"
200,"c, c, c, c, c"
201,"c, c, c, c, c, c"
202,"c, c, a, c"
203,"c, c, c, c, c, c"
204,"c"
205,"c"
206,"c, c, c, c"
207,"c, c"
208,"c, c, c, c"
209,"[c], [a]"
210,"c"
211,"b, b, b, c, c"
212,"c"
213,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
214,"c, c, c, c"
215,"c"
216,"c"
217,"c"
218,"c, c, c, c, c"
219,"c, c"
220,"c"
221,"c, c, c, c, c, c"
222,"c, c, c"
223,"c, c, c"
224,"c, b, c, c, c"
225,"c, c, c, c, c, c, c, b"
226,"c, c, c"
227,"c, c, c, c, c, c, c, c, c, c, c"
228,"c, c"
229,"c, c, c, c, c, c"
230,"c, c, c, a, c"
231,"b, b, b, b"
232,"c, c, c, c, c"
233,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
234,"c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c"
235,"c, c, c, c, c, c"
236,"c, c, c, c, c, c, c, c, c, b, b, c, c, c, c, c, c"
237,"c, c, c, c, c, c, c"
238,"c, c, b, c, c"
239,"c, c, c, c, c, c, c, c, c, c"
240,"c, c, c"
241,"c, c"
242,"c, c, c"
243,"c, c, c, c, c, c, c, c, c, c"
244,"c, c, c, c, c"
245,"c"
246,"c, c, c, c"
247,"c"
248,"c, c"
249,"c"
250,"c, c"
251,"c, c"
252,"c, c"
253,"c, c"
254,"c"
255,"c, c, a"
256,"c, c, c, c"
257,"c"
258,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
259,"c, c, c, c, c, c, c, c"
260,"c"
261,"b, b"
262,"c, b"
263,"c, c"
264,"c, c, c"
265,"c, c, c"
266,"c"
267,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
268,"c, c, c, c, c, c, c"
269,"c, c, c"
270,"c, c"
271,"c, c, c, c"
272,"c, c"
273,"c, c, c, c, c, c, c, c, c"
274,"c, c, c, c, c, c, c, c, c, c, c, c"
275,"c, b, b"
276,"c"
277,"c"
278,"c"
279,"c, c, c, c, c, c"
280,"c"
281,"c, c, c, a, c"
282,"c, c, a"
283,"c, c, a, b"
284,"a"
285,"b, a, c"
286,"[c], [c], [c], [c], [c]"
287,"c, c, c, c, c, c, c"
288,"c, c, c"
289,"c"
290,"c, c, c, c, c"
291,"c"
292,"c"
293,"c, c, c"
294,"c, b, c"
295,"c"
296,"c, c"
297,"c, c"
298,"c"
299,"c, c"
300,"c, c, c"
301,"c, c"
302,"c"
303,"c, c, c"
304,"c, c, c, a, c, a"
305,"c"
306,"c"
307,"c, a, a"
308,"c, c, c"
309,"c"
310,"c"
311,"c, c, c"
312,"c"
313,"c"
314,"c"
315,"c, c, c"
316,"[c], [c], [c], [c]"
317,"c"
318,"c"
319,"c, c, c"
320,"c"
321,"c, c, c, c, c, c, c"
322,"c, c"
323,"c"
324,"c, a"
325,"c"
326,"c, c, c, c, c, c, c, c, c, c, a, b, a, a, c"
327,"c, c, c, c"
328,"c, c, c, c, c, c, c, c, c, c, c, c"
329,"c, b, a"
330,"c, c, c, c"
331,"c, c, c, c"
332,"c, c"
333,"c, c"
334,"c"
335,"c, c, c, a, c, c, c, c, c, c"
336,"c, c"
337,"c, c, c, c"
338,"c, c, c, a, c"
339,"c"
340,"c, c"
341,"c, a, c, a, c"
342,"c"
343,"c, c, c, c, c, c"
344,"c, c, c, c, b, b, c"
345,"c"
346,"c, c, b, b, c, b, b"
347,"c, c, c"
348,"c, c, c"
349,"c, c"
350,"c, c, c"
351,"c, a, c, c"
352,"a"
353,"b, c, a, c"
354,"b, c"
355,"c, c"
356,"a"
357,"c"
358,"b, c, c, c, c, b, c, c"
359,"c, c"
360,"c, c"
361,"c, c, c"
362,"c, c, a"
363,"c, c, c"
364,"c, c, c, c"
365,"c, c, c, a, c"
366,"c, c, c, c, c, a, a, c"
367,"c, a, c"
368,"c"
369,"c, c, c, a"
370,"c, c"
371,"c, c"
372,"c"
373,"c, c"
374,"c, c, c, c, c, c"
375,"c"
376,"c, c, a"
377,"c, c, c, c, c, c, a, a, a, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, a, c"
378,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c"
379,"c, c, a"
380,"a, c, c, c, c, a, a, a, c, c, a"
381,"[a], [a], [a], [c]"
382,"[a], [c], [a], [c]"
383,"c, c, a, c, c, c"
384,"c, c, c, c, c, c, c, c, c, c, c, c, c"
385,"c, c, c, c, c, c, a, a, a, a"
386,"c, c, a, a, c, c, c, c, a, c"
387,"c, c, a, a, c, a, c"
388,"c, a, b, b, a"
389,"c, c, c, c"
390,"c, c, c, c"
391,"c, c, c, c, a, c"
392,"a, c, c, a, c"
393,"c, c, a, a"
394,"c"
395,"c, c, a, c"
396,"a"
397,"c, a, c, c, a"
398,"[c], [c], [c]"
399,"c, c, c, c"
400,"c, c"
401,"c, c"
402,"c"
403,"c, c, c, c, c, c, c"
404,"[a], [c], [b], [c]"
405,"a"
406,"c, c, c"
407,"c, c"
408,"b, a, c, c, a, c, a, b"
409,"a"
410,"c, c"
411,"c, c, c, c, c"
412,"c, c"
413,"c, a, c, a, a"
414,"c, c, c, c, c, c, c"
415,"c, c"
416,"c, c, a"
417,"c, c, c"
418,"c, c"
419,"c, c, a"
420,"c"
421,"c, c, a"
422,"[c], [a], [c]"
423,"c, c, c, c"
424,"c"
425,"c, c, c, c, c"
426,"c, c"
427,"c, c, c, c, c, c, c, c, c"
428,"c"
429,"c, c"
430,"c, a"
431,"c, c"
432,"c"
433,"c, c, c, c"
434,"b, a"
435,"c, c, c, c, c, c, c, c, c, a"
436,"c, c"
437,"c, c, c"
438,"c, c, c, c, c, c, c, c"
439,"c, c, c, a, c, c, a, c"
440,"c"
441,"c, c"
442,"c, c"
443,"c, c, c"
444,"c"
445,"c"
446,"[a]"
447,"c"
448,"c, c, c"
449,"c, c, c"
450,"c, c, c"
451,"c"
452,"b"
453,"c, a"
454,"c"
455,"c"
456,"c, a, c"
457,"[a], [a], [c], [a]"
458,"b, c, c"
459,"c, a, c, c"
460,"c, a, c, c, c, c, b, a, c"
461,"c"
462,"c, c, c, c, a, c, c, c"
463,"c, a, c, c, c"
464,"c, c, c"
465,"c, a, a"
466,"c, a"
467,"c, a, c, b, c, c, b"
468,"c, c"
469,"c, c, c, a"
470,"c, c, c"
471,"c, b, b, a, b, b, c"
472,"c, c, c, c, c, a, c"
473,"c, c, c"
474,"c"
475,"c, c, c"
476,"c, c, c, c, c, c, c"
477,"c, c, c"
478,"c, a"
479,"c, c, c, c, c"
480,"c, c, a, a, a"
481,"[a], [a], [a], [c]"
482,"c, c, c, c"
483,"c, c, c, c, c, c"
484,"c"
485,"[a], [c], [c]"
486,"c, c, c"
487,"c, c"
488,"c, c"
489,"c, c"
490,"c, c, c"
491,"c, c, a"
492,"c, c"
493,"c"
494,"c"
495,"[a], [c]"
496,"c, c"
497,"c"
498,"c"
499,"c"
500,"[a], [c], [a], [a]"
501,"c, c"
502,"c, c, c, c, c, c, c, c, c"
503,"c"
504,"c, c, c, c, a, c"
505,"c, c"
506,"c, a"
507,"a"
508,"[b], [a]"
509,"c, c"
510,"c, c, a, c, c, c, a, c"
511,"c, a"
512,"[a], [a], [b]"
513,"c"
514,"c, a, a"
515,"c"
516,"c"
517,"c"
518,"[a], [a], [a]"
519,"c"
520,"c, c, c, c, c, c, c"
521,"c, c, c"
522,"c"
523,"c, c, c"
524,"c, c, c"
525,"c"
526,"c"
527,"c, c, c, c"
528,"c, c, c"
529,"[c], [c], [c], [a], [c]"
530,"c, c"
531,"c"
532,"c, c, c, c, c"
533,"c, a, c, b, b, c, a, b, c"
534,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
535,"a"
536,"c, c, a"
537,"c"
538,"c"
539,"c, c, c"
540,"c, c, c, c"
541,"c"
542,"c"
543,"[a], [c]"
544,"c, c, c"
545,"c, c, c, c, c, c, c, c, c"
546,"a, c"
547,"[a], [c], [a], [a], [a], [c], [a], [a]"
548,"c, a"
549,"c"
550,"[a], [c], [a], [a]"
551,"b, b"
552,"c"
553,"c, a, a"
554,"c, a, a"
555,"c, a"
556,"c"
557,"c"
558,"c, c, c, c"
559,"c"
560,"c"
561,"c, c, c"
562,"c, a, b"
563,"c, c, c, c, c, c, a, a, c, a, c, c, c, a, c, c"
564,"c"
565,"c, c, c, c"
566,"c"
567,"c, c, c"
568,"c, c, c, b, b, c"
569,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
570,"c"
571,"[a], [c]"
572,"c, c, c, c, c, c, c, c, c"
573,"a"
574,"c"
575,"c, c, c, c, c, c"
576,"c, c"
577,"c, c"
578,"c"
579,"a"
580,"c"
581,"c, c, c, c"
582,"c"
583,"c"
584,"c, c"
585,"c"
586,"c"
587,"c, c"
588,"c, c, c, c, c, c"
589,"c, c, c"
590,"c"
591,"c, c, c"
592,"c, c, c"
593,"c, c"
594,"c"
595,"c"
596,"c, c, c, c, c"
597,"c, c"
598,"c, a"
599,"c"
600,"c"
601,"c, c, c, c, c, b"
602,"c"
603,"c"
604,"c"
605,"c, c, c, c, c"
606,"c"
607,"b, b, b"
608,"c, c, c"
609,"c, c"
610,"c"
611,"c, c, c, c, a"
612,"c"
613,"c, c"
614,"c, c"
615,"c, a, c, b, c, c, c, c, c, b, b, c"
616,"c, c, c, c"
617,"a"
618,"c, c, c, c, c"
619,"c"
620,"c"
621,"c, c, a, c"
622,"c, c, c, c"
623,"c, c"
624,"c"
625,"c, a"
626,"c, c"
627,"c, b"
628,"c, c"
629,"c"
630,"c, c, c, c, a, c, c, c, a, c, c, c, a, c, c"
631,"c, c, c, c, b, c"
632,"c"
633,"c"
634,"c, c"
635,"c"
636,"c"
637,"c, c, c, c"
638,"c, c, c"
639,"c, c"
640,"c, c"
641,"c"
642,"c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, b, b, b, a, a, b, c, c, c"
643,"c, c, c, c, a, c"
644,"c, c, c, a"
645,"a, c"
646,"c, a, c, c, c, c, c, b, c, c, b, b"
647,"c, a"
648,"c, c, c, c, c, c, c, c"
649,"c, c, c"
650,"c, c, c"
651,"c, c, c"
652,"c, c, c"
653,"c, c, c, c, a, c, c, c"
654,"c"
655,"c, c, c"
656,"c"
657,"c, c"
658,"c, c"
659,"c, c"
660,"c, c"
661,"c, c, c, c, c, c, a, a, a, c, c, c, a, a, a, a, a"
662,"c, c, c, c, c"
663,"a"
664,"c, c, c"
665,"c, c, c, c, a, c"
666,"c, c"
667,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
668,"c"
669,"c, c, c, c, c, a"
670,"c, c, c"
671,"c"
672,"c, c, c"
673,"c"
674,"c, c, c, c"
675,"c, c, c, a"
676,"c"
677,"c, c"
678,"c, c"
679,"c, c, c"
680,"c, c"
681,"c"
682,"c, c, c, c, c"
683,"c, b, c"
684,"c, c"
685,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
686,"c, c, c, c"
687,"b, c, b"
688,"c, a, c"
689,"c"
690,"c, c"
691,"[c], [c], [c], [c], [c]"
692,"c"
693,"[c], [c], [b], [c]"
694,"c, a"
695,"c"
696,"c, a, c"
697,"a"
698,"c, c, c"
699,"c, c"
700,"a, c, c, c, c"
701,"c"
702,"c, c, c, a, c, b, a, c"
703,"c, c, c, c"
704,"c, a, c, a"
705,"c, c, c, a, c, c"
706,"c, c, a"
707,"c, c, c"
708,"c"
709,"c, c, c"
710,"c, c, c, c, c"
711,"c, a, c, c, a"
712,"c, c, c, c, c"
713,"c"
714,"c, a, c"
715,"c, c, c, a, c, c, c, a, c"
716,"c, c, c, c, c, c"
717,"c, c, c, b, b, b, c, b"
718,"c, c, a"
719,"c, c"
720,"b, c, c, b, b, b, b, b, b, b, c, c, c, c, a, a, a, c, c, c, c"
721,"c"
722,"c"
723,"c, c, c"
724,"c"
725,"c, c, a"
726,"c, c, c, a"
727,"c, c, c, c, c, c"
728,"b, b"
729,"a, a"
730,"c, c"
731,"c"
732,"c, c, a, c, c, c"
733,"c"
734,"c, c"
735,"c"
736,"c, c, c, c, c, c"
737,"c, c, c, a"
738,"c, c, c, c, c"
739,"c, b, b, c, c"
740,"c, c, c"
741,"c, c, c, c, c, c, c, c, c, c, c, a, c"
742,"c, a, b, c, b, c"
743,"c, c"
744,"c, c"
745,"c, c"
746,"c"
747,"c, c, c, c, c, c, c, c, c, a, c, c, c"
748,"b, c, c, b, b, b, b, c"
749,"c, c, c, c, a, a"
750,"c"
751,"c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
752,"a"
753,"c, c, c, c, c, c"
754,"c, c, c"
755,"c, c"
756,"b, b, b, b, b"
