"text","answer"
1,"c, c, c, c, c, c, c, c, c, c, c, c, c"
2,"c, c, c, c, c, c, c, c, c, c, c"
3,"c, c, c, c, c, c, c"
4,"c, c, c, c"
5,"c, c, c, c"
6,"c, c"
7,"c, c"
8,"c, c, c, c, c, c, c, c, c, c"
9,"c, c, c, c, c, c, c, c, c, c, c"
10,"c, c, c, c, c"
11,"c, c, c, c"
12,"c, c, c, c, c"
13,"c, c, c"
14,"c, c, c, c"
15,"c, c, c, c, c, c, c, c, c, c"
16,"c, c, c, c, c, c, c, c, c"
17,"c, c, c, c"
18,"c, c, c, c, c"
19,"c, c, c, c, c"
20,"c, c, c"
21,"c, c, c, c"
22,"c, c, c"
23,"c, c, c"
24,"c, c, c"
25,"c, c, c, c"
26,"c, c, c"
27,"c, c, c, c, c"
28,"c, c"
29,"c, c"
30,"c, c, c, c, c, c, c, c, c"
31,"c, c, c"
32,"c, c"
33,"c"
34,"c, c, c"
35,"c, c, c, c, c, c"
36,"c, c, c, c"
37,"c, c, c"
38,"c, c, c"
39,"c, c, c"
40,"c, c"
41,"c, c, c, c"
42,"c, c, c, c, c"
43,"c, c, c, c, c, c, c, c"
44,"c, c, c"
45,"c, c, c, c, c, c"
46,"c, c"
47,"c, c, c, c, c"
48,"c"
49,"c, c, c, c, c, c, c"
50,"c, c, c"
51,"c, c, c, c, c"
52,"c, c, c, c, c, c"
53,"c"
54,"c, c, c"
55,"c, c, c, c, c, c, c"
56,"c, c, c, c, c, c"
57,"c, c, c, c, c"
58,"c, c, c, c, c"
59,"c, c, c, c, c, c"
60,"c, c, c, c, c, c, c, c, c"
61,"c, c, c"
62,"c, c, c, c, c"
63,"c, c, c, c, c, c, c, c"
64,"c, c, c"
65,"c, c, c, c, c, c, c, c, c, c, c"
66,"c, c, c, c, c, c"
67,"c, c"
68,"c"
69,"c, c"
70,"c, c, c, c, c, c"
71,"c, c, c, c, c, c, c, c, c"
72,"c, c, c, c"
73,"c, c"
74,"c"
75,"c"
76,"c, c, c"
77,"c, c, c, c"
78,"c, c, c, c"
79,"c"
80,"c, c, c, c, c"
81,"c"
82,"c, c, c, c, c, c, c"
83,"c, c, c"
84,"c, c, c"
85,"c, c, c, c"
86,"c, c"
87,"c, c"
88,"c, c, c, c"
89,"c, c, c, c"
90,"c, c, c, c, c, c, c, c, c, c"
91,"c, c, c"
92,"c"
93,"c, c"
94,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
95,"c, c, c, c, c, c, c, c"
96,"c, c, c"
97,"c, c, c"
98,"c, c"
99,"c, c, c, c, c, c, c, c"
100,"c, c, c, c, c, c, c, c, c, c, c, c, c"
101,"c, c"
102,"c, c, c"
103,"c, c, c"
104,"c, c"
105,"c"
106,"c"
107,"c, c"
108,"c"
109,"c"
110,"c, c, c"
111,"c, c"
112,"c"
113,"c, c"
114,"c, c, c"
115,"c"
116,"c"
117,"c"
