source,dimension,dict_rel_freq_intokens,dict_rel_freq_within,zs_rel_freq_intokens,zs_rel_freq_within
FGC: Website,Environmental,2.56%,76.16%,3.69%,44.85%
FGC: Website,Social,0.63%,18.90%,2.70%,32.77%
FGC: Website,Economic,0.17%,4.93%,1.84%,22.37%
FGC: Website,Total,3.36%,100.00%,8.22%,100.00%
FGC: Amazon,Environmental,0.20%,24.05%,0.72%,28.16%
FGC: Amazon,Social,0.31%,37.97%,0.65%,25.31%
FGC: Amazon,Economic,0.31%,37.97%,1.20%,46.53%
FGC: Amazon,Total,0.82%,100.00%,2.57%,100.00%
UGC: YouTube,Environmental,0.02%,15.91%,0.09%,7.45%
UGC: YouTube,Social,0.05%,38.64%,0.14%,12.23%
UGC: YouTube,Economic,0.06%,45.45%,0.95%,80.32%
UGC: YouTube,Total,0.13%,100.00%,1.18%,100.00%
UGC: Amazon,Environmental,0.03%,8.62%,0.18%,6.07%
UGC: Amazon,Social,0.04%,13.36%,0.18%,6.12%
UGC: Amazon,Economic,0.25%,78.02%,2.60%,87.80%
UGC: Amazon,Total,0.32%,100.00%,2.96%,100.00%
